Country,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md,
Papua New Guinea,598,SDG 6.4.2. Water Stress,4550,2017,0.132242833,E,,0
Paraguay,600,SDG 6.4.2. Water Stress,4550,2017,1.835399711,E,,0
Peru,604,SDG 6.4.2. Water Stress,4550,2017,4.772963665,E,,0
Philippines,608,SDG 6.4.2. Water Stress,4550,2017,28.35524304,E,,0
Poland,616,SDG 6.4.2. Water Stress,4550,2017,34.89096573,E,,0
Portugal,620,SDG 6.4.2. Water Stress,4550,2017,12.37988748,E,,0
Puerto Rico,630,SDG 6.4.2. Water Stress,4550,2017,19.53561063,E,,0
Qatar,634,SDG 6.4.2. Water Stress,4550,2017,431.0344828,E,,0
"Korea, Rep.",410,SDG 6.4.2. Water Stress,4550,2017,85.22183304,E,,0
Moldova,498,SDG 6.4.2. Water Stress,4550,2017,12.47401247,E,,0
Romania,642,SDG 6.4.2. Water Stress,4550,2017,6.341166557,E,,0
Russian Federation,643,SDG 6.4.2. Water Stress,4550,2017,4.096168705,E,,0
Rwanda,646,SDG 6.4.2. Water Stress,4550,2017,6.089403974,E,,0
St. Kitts and Nevis,659,SDG 6.4.2. Water Stress,4550,2017,50.83333333,I,,0
St. Lucia,662,SDG 6.4.2. Water Stress,4550,2017,14.3,I,,0
St. Vincent and the Grenadines,670,SDG 6.4.2. Water Stress,4550,2017,7.9,I,,0
Sao Tome and Principe,678,SDG 6.4.2. Water Stress,4550,2017,1.876146789,I,,0
Saudi Arabia,682,SDG 6.4.2. Water Stress,4550,2017,883.3333333,E,,0
Senegal,686,SDG 6.4.2. Water Stress,4550,2017,11.80728336,E,,0
Serbia,688,SDG 6.4.2. Water Stress,4550,2017,6.059957173,E,,0
Sierra Leone,694,SDG 6.4.2. Water Stress,4550,2017,0.495794393,E,,0
Singapore,702,SDG 6.4.2. Water Stress,4550,2017,83.21666667,E,,0
Slovakia,703,SDG 6.4.2. Water Stress,4550,2017,2.393717728,E,,0
Slovenia,705,SDG 6.4.2. Water Stress,4550,2017,6.29749831,E,,0
Somalia,706,SDG 6.4.2. Water Stress,4550,2017,24.52774059,E,,0
South Africa,710,SDG 6.4.2. Water Stress,4550,2017,62.05571566,E,,0
South Sudan,728,SDG 6.4.2. Water Stress,4550,2017,4.226075787,E,,0
Spain,724,SDG 6.4.2. Water Stress,4550,2017,42.56441718,E,,0
Sri Lanka,144,SDG 6.4.2. Water Stress,4550,2017,90.78541374,E,,0
Sudan,729,SDG 6.4.2. Water Stress,4550,2017,118.6563877,E,,0
Suriname,740,SDG 6.4.2. Water Stress,4550,2017,3.950609365,E,,0
Sweden,752,SDG 6.4.2. Water Stress,4550,2017,3.427128427,E,,0
Switzerland,756,SDG 6.4.2. Water Stress,4550,2017,6.498855835,E,,0
Syrian Arab Republic,760,SDG 6.4.2. Water Stress,4550,2017,124.3601389,E,,0
Tajikistan,762,SDG 6.4.2. Water Stress,4550,2017,52.69824515,E,,0
Thailand,764,SDG 6.4.2. Water Stress,4550,2017,23.01393518,E,,0
Timor-Leste,626,SDG 6.4.2. Water Stress,4550,2017,28.26821032,E,,0
Togo,768,SDG 6.4.2. Water Stress,4550,2017,3.391634981,E,,0
Trinidad and Tobago,780,SDG 6.4.2. Water Stress,4550,2017,20.32648126,E,,0
Tunisia,788,SDG 6.4.2. Water Stress,4550,2017,89.53101592,E,,0
Turkey,792,SDG 6.4.2. Water Stress,4550,2017,43.66707643,E,,0
Turkmenistan,795,SDG 6.4.2. Water Stress,4550,2017,143.5600206,E,,0
Uganda,800,SDG 6.4.2. Water Stress,4550,2017,5.82799634,E,,0
Ukraine,804,SDG 6.4.2. Water Stress,4550,2017,13.87017362,E,,0
United Arab Emirates,784,SDG 6.4.2. Water Stress,4550,2017,1708,E,,0
United Kingdom,826,SDG 6.4.2. Water Stress,4550,2017,14.35464621,E,,0
Tanzania,834,SDG 6.4.2. Water Stress,4550,2017,12.96324081,E,,0
United States,840,SDG 6.4.2. Water Stress,4550,2017,28.16198427,E,,0
Uruguay,858,SDG 6.4.2. Water Stress,4550,2017,9.786096257,E,,0
Uzbekistan,860,SDG 6.4.2. Water Stress,4550,2017,168.9131058,E,,0
